,luminosity bin center,neutral fraction,No. of LAEs pre-IGM for z = 5.5-5.775,No. of LAEs post-IGM for z = 5.5-5.775,No. of LAEs pre-IGM for z = 5.8-6.075,No. of LAEs post-IGM for z = 5.8-6.075,No. of LAEs pre-IGM for z = 6.1-6.375,No. of LAEs post-IGM for z = 6.1-6.375,No. of LAEs pre-IGM for z = 6.4-6.675,No. of LAEs post-IGM for z = 6.4-6.675,No. of LAEs pre-IGM for z = 6.7-6.975,No. of LAEs post-IGM for z = 6.7-6.975,No. of LAEs pre-IGM for z = 7.0-7.275,No. of LAEs post-IGM for z = 7.0-7.275,No. of LAEs pre-IGM for z = 7.3-7.575,No. of LAEs post-IGM for z = 7.3-7.575,No. of LAEs pre-IGM for z = 7.6-7.875,No. of LAEs post-IGM for z = 7.6-7.875,No. of LAEs pre-IGM for z = 7.9-8.175,No. of LAEs post-IGM for z = 7.9-8.175,No. of LAEs pre-IGM for z = 8.2-8.475,No. of LAEs post-IGM for z = 8.2-8.475,No. of LAEs pre-IGM for z = 8.5-8.775,No. of LAEs post-IGM for z = 8.5-8.775,No. of LAEs pre-IGM for z = 8.8-9.075,No. of LAEs post-IGM for z = 8.8-9.075,No. of LAEs pre-IGM for z = 9.1-9.375,No. of LAEs post-IGM for z = 9.1-9.375,No. of LAEs pre-IGM for z = 9.4-9.675,No. of LAEs post-IGM for z = 9.4-9.675,No. of LAEs pre-IGM for z = 9.7-9.85,No. of LAEs post-IGM for z = 9.7-9.85
0,42.2,0.014,1724.0,1760.0,1425.0,1474.0,1044.0,1091.0,793.0,788.0,544.0,458.0,471.0,356.0,382.0,272.0,277.0,160.0,152.0,58.0,128.0,56.0,140.0,47.0,81.0,24.0,37.0,6.0,44.0,12.0,8.0,1.0
1,42.6,0.064,1190.0,1162.0,912.0,874.0,716.0,652.0,496.0,371.0,318.0,182.0,266.0,123.0,247.0,108.0,149.0,57.0,73.0,24.0,74.0,17.0,76.0,16.0,42.0,9.0,22.0,2.0,29.0,3.0,2.0,0.0
2,43.0,0.163,474.0,466.0,333.0,318.0,254.0,220.0,186.0,140.0,108.0,66.0,81.0,42.0,67.0,29.0,48.0,20.0,24.0,6.0,24.0,6.0,18.0,6.0,14.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0
3,43.4,0.295,153.0,149.0,109.0,103.0,64.0,57.0,39.0,28.0,24.0,16.0,24.0,14.0,14.0,3.0,12.0,1.0,7.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,43.8,0.583,38.0,38.0,21.0,20.0,22.0,21.0,17.0,13.0,5.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44.199999999999996,0.655,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.599999999999994,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
